"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"667",667,"Shubh Mangal Saavdhan","In this remake of Kalyana Samayal Saadham (2013), a couple fall in love but then the groom discovers that he suffers from erectile dysfunction.",119,"Comedy",7.4,1569,"R.S. Prasanna","Ayushmann Khurrana",NA,0
"668",668,"Crown Heights","When Colin Warner is wrongfully convicted of murder, his best friend Carl King devotes his life to proving Colin's innocence.",94,"Biography",5.9,328,"Matt Ruskin","Lakeith Stanfield",64,0
"669",669,"Best & Worst Movies of 2016","Ralph Sepe Jr. reviews every movie he saw in 2016!",64,"Comedy",8.5,154,"Ralph Sepe Jr.",NA,NA,0
"670",670,"The Girl Who Invented Kissing","The Girl Who Invented Kissing is the story of a nameless, pill-popping drifter girl who steps off a bus and into a neighborhood bar owned by two middle-age brothers.",106,"Drama",7.1,21,"Tom Sierchio","Vincent Piazza",NA,0
"671",671,"Ghost Stories","Arch sceptic Professor Phillip Goodman embarks upon a terror filled quest, when he stumbles across a long lost file containing details of three cases of inexplicable 'hauntings'.",98,"Drama",7.2,37,"Jeremy Dyson","Martin Freeman",NA,0
"672",672,"A Futile & Stupid Gesture",NA,NA,"Biography",NA,NA,"David Wain","Domhnall Gleeson",NA,0
"673",673,"The Year of Spectacular Men","        Add a Plot",NA,"Comedy",7,9,"Lea Thompson","Alex Boling",NA,0
"674",674,"Hostile","Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange disturbing creatures that only comes out at nighttime.",83,"Drama",6.6,61,"Mathieu Turi","Brittany Ashworth",NA,0
"675",675,"Abang Long Fadil 2","A story about Fadil who fall into mafia world led by Taji Samprit and his son Wak Doyok. An incident causes Inspector Wahab and Inspector Shuib to suspect Fadil as Tiger, a professional assassin.",95,"Action",8.1,166,"Syafiq Yusof","Zizan Razak",NA,0
"676",676,"Toc Toc","In the waiting room of an international well-known doctor expert in treatments for TOC (""Trastorno Obsesivo Compulsivo""; Spanish for ""Obsesive Compulsive Disorder"" or OCD) meet some people ...                See full summary<U+00A0><U+00BB>",90,"Comedy",6.2,82,"Vicente Villanueva","Paco Le<U+00F3>n",NA,0
"677",677,"We Don't Belong Here","A matriarch of a dysfunctional family is pushed to her tipping point by the disappearance of her son.",92,"Drama",5,292,"Peer Pedersen","Catherine Keener",NA,0
"678",678,"Knights of the Damned","The King has sent his best Knights to defeat the Dragon besieging his castle. Along their epic adventure they encounter malicious sirens, warrior women on a mission of revenge and an unstoppable army of the undead. Can they survive?",84,"Action",4.5,82,"Simon Wells","Ross O'Hennessy",NA,0
"679",679,"Day of the Dead: Bloodline",NA,NA,"Horror",NA,NA,"H<U+00E8>ctor Hern<U+00E1>ndez Vicens","Sophie Skelton",NA,0
"680",680,"The Seagull",NA,NA,"Drama",NA,NA,"See full summary","Elisabeth Moss",NA,0
"681",681,"Uchiage hanabi, shita kara miru ka? Yoko kara miru ka?","School children Norimichi, Yuusuke, and Junichi want to know if fireworks look round or flat from the side. They make a plan to find the answer at a fireworks display, while Nazuna schemes ...                See full summary<U+00A0><U+00BB>",90,"Animation",5.6,118,"Akiyuki Shimb<U+00F4>","Suzu Hirose",NA,0
"682",682,"The Tank","On April 26, 2012, six people entered an Isolated Confined Environment with the mission to simulate a trip to Mars. Their mission was a catastrophic failure.",85,"Thriller",4.1,208,"Kellie Madison","Marguerite Moreau",NA,0
"683",683,"Golden Exits","An intersectional narrative of two families in Brooklyn and the unraveling of unspoken unhappiness that occurs when a young foreign girl spending time abroad upsets the balance on both sides.",94,"Drama",6.5,263,"Alex Ross Perry","Emily Browning",73,0
"684",684,"Muse","Samuel Salomon, a literature professor, has been off work for almost a year after the tragic death of his girlfriend. Samuel has been suffering from a recurring nightmare in which a woman ...                See full summary<U+00A0><U+00BB>",NA,"Thriller",5.8,47,"Jaume Balaguer<U+00F3>","Christopher Lloyd",NA,0
"685",685,"House on Elm Lake","A man convinced that Lucifer was within him brutally murdered his wife and child in satanic sacrifice. Now, years later, Eric, Hayley and their daughter Penny, move into the same house ...                See full summary<U+00A0><U+00BB>",96,"Horror",3.1,112,"James Klass","Becca Hirani",NA,0
"686",686,"The Legacy of a Whitetail Deer Hunter",NA,NA,"Comedy",NA,NA,"Jody Hill","Josh Brolin",NA,0
"687",687,"Baadshaho","An Indian queen asks her bodyguard to steal back gold taken from her by the Indian government during The Emergency period in 1975.",136,"Action",5.6,1768,"Milan Luthria","Ajay Devgn",NA,0
"688",688,"Please Stand By",NA,93,"Comedy",NA,NA,"Ben Lewin","Dakota Fanning",NA,0
"689",689,"Korparna","1970s, Sweden - Hard working farmer Agne (played by acclaimed actor Reine Brynolfsson) struggles with the harsh reality of his daily life, hoping his teenage son Klas will take over the ...                See full summary<U+00A0><U+00BB>",NA,"Drama",8.1,33,"Jens Assur","Reine Brynolfsson",NA,0
"690",690,"Kuso","Events unfold after a devastating earthquake in Los Angeles.",105,"Drama",5.1,571,"Flying Lotus","Hannibal Buress",51,0
"691",691,"A Tale of Two Coreys",NA,NA,"Drama",NA,NA,"Steven Huffaker","Elijah Marcano",NA,0
"692",692,"Who Is Alice","'Who is Alice' carries us on a darkly funny, compelling and sometimes cringe worthy journey into the highs and lows of what human beings will do to try to avoid pain and connect to ...                See full summary<U+00A0><U+00BB>",104,"Comedy",7,593,"Ismael Lotz","Keith Ackerman",NA,0
"693",693,"Gekijo-ban Sword Art Online: Ordinal Scale","Kirito uncovers a conspiracy within Ordinal Scale, a popular VR game developed for a new system called, The Augma.",119,"Animation",7.6,1795,"Tomohiko It<U+00F4>","Yoshitsugu Matsuoka",NA,0
"694",694,"Tulipani: Liefde, Eer en een Fiets","After losing his farm during the floods of 1953, a romantic Dutch farmer is tired of getting his socks wet. He cycles to Italy and decides to grow tulips in the sweltering heat of Puglia.",NA,"Comedy",7,206,"Mike van Diem","Ksenia Solo",NA,0
"695",695,"Hva vil folk si","Sixteen year-old Nisha lives a double life. At home with her family she is the perfect Pakistani daughter, but when out with her friends, she is a normal Norwegian teenager. When her father...                See full summary<U+00A0><U+00BB>",106,"Drama",8,128,"Iram Haq","Maria Mozhdah",NA,0
"696",696,"Burning Sands","Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",96,"Drama",6.2,1581,"Gerard McMurray","Segun Akande",63,0
"697",697,"Pray for Rain","A journalist returns to the California farming community where she was raised only to find it has been ravaged by drought and has become a place ruled by gangs.",92,"Drama",5,398,"Alex Ranarivelo","Jane Seymour",NA,0
"698",698,"Wildling",NA,92,"Drama",NA,NA,"Fritz B<U+00F6>hm","Brad Dourif",NA,0
"699",699,"JT Leroy",NA,NA,"Biography",NA,NA,"Justin Kelly","Kristen Stewart",NA,0
"700",700,"The Shadow Within",NA,NA,"Crime",NA,NA,"Tiago Mesquita","Lindsay Lohan",NA,0
"701",701,"Australia Day","On Australia's most controversial national holiday, the lives of three Australians from diverse cultural backgrounds will collide, illuminating contemporary issues of racial tension and ...                See full summary<U+00A0><U+00BB>",98,"Drama",6.7,47,"Kriv Stenders","Bryan Brown",NA,0
"702",702,"Yamasong: March of the Hollows","An automated girl and tortoise warrior journey with a band of outlaws on an incredible quest. Their one hope is to find a legendary relic to defeat a sinister mechanized army and save the creatures of their world.",95,"Animation",6.3,10,"Sam Koji Hale","Abigail Breslin",NA,0
"703",703,"Numb, at the Edge of the End",NA,NA,"Drama",NA,NA,"See full summary","Hayden Christensen",NA,0
"704",704,"Keepers",NA,NA,"Thriller",NA,NA,"See full summary","Gerard Butler",NA,0
"705",705,"Grow House","Two guys start a risky new business to pay off a debt.",96,"Comedy",4.2,162,"DJ Pooh","Malcolm McDowell",NA,1.01
"706",706,"Never Here","Disturbing events lead an artist who photographs strangers to suspect that someone out there is watching HER. Boundaries blur between real and imaginary, crime and art, the watcher and the watched.",110,"Mystery",7.3,35,"Camille Thoman","Mireille Enos",NA,0
"707",707,"El otro hermano","Cetarti, a public employee who has just been fired, travels from Buenos Aires to Lapachito, a lonely town in the Chaco province. He must take care of the corpses of his mother and brother ...                See full summary<U+00A0><U+00BB>",112,"Crime",6.8,451,"Israel Adri<U+00E1>n Caetano","Leonardo Sbaraglia",NA,0
"708",708,"True to the Game","A charismatic drug lord tries to start a new life after he falls for a young woman from Philadelphia.",108,"Drama",6.4,79,"Preston A. Whitmore II","Erica Peeples",NA,0
"709",709,"One Step Behind the Seraphim","A group of freshmen in an orthodox college are introduced in a world of cons, pleasure and money, but they soon discover that's not the way one's life should be lead.",150,"Drama",8.7,346,"Daniel Sandu","Stefan Iancu",NA,0
"710",710,"The Ice Cream Truck","Mary moves back to her suburban hometown, to find that the suburbs are scarier in more ways than she ever remembered.",96,"Comedy",4.4,356,"Megan Freels Johnston","Deanna Russo",NA,0
"711",711,"Talon Falls","Four teenagers on a road trip decide to take a detour and find them selves at at haunted house halloween scream park deep in the woods of southern Kentucky. After witnessing an assortment ...                See full summary<U+00A0><U+00BB>",NA,"Horror",5.1,57,"Joshua Shreve","Brad Bell",NA,0
"712",712,"Person to Person","Follows a variety of New York characters as they navigate personal relationships and unexpected problems over the course of one day.",84,"Comedy",5.8,504,"Dustin Guy Defa","Abbi Jacobson",53,0.04
"713",713,"As Boas Maneiras","Clara, a lonely nurse from the outskirts of S<U+00E3>o Paulo, is hired by mysterious and wealthy Ana as the nanny for her unborn child. The two women develop a strong bond, but a fateful night changes their plans.",135,"Fantasy",6.9,121,"Marco Dutra","Isab<U+00E9>l Zuaa",NA,0
"714",714,"Ten","A group of kids travel to an abandoned island for a party only to discover that they are being stalked and hunted down by a dangerous predator.",NA,"Horror",4.5,104,"Chris Robert","Dylan Arnold",NA,0
"715",715,"Speech & Debate","Frustrated by the hypocrisy they see in their parents, teachers, and the entire school board, an unlikely trio set out to find a common truth and make their voices heard as they revive a defunct school club and take on the world.",105,"Comedy",6,695,"Dan Harris","Liam James",46,0
"716",716,"We Still Steal the Old Way","The Archer Gang are back and doing a daring heist in London. Remanded in prison, they will try to break out their old friend Briggs.",90,"Action",4.9,526,"Sacha Bennett","Julian Glover",NA,0
"717",717,"Lommbock","Sequel to Lammbock. Stefan and Kai meet again after years. Stefan became a successful lawyer in Dubai while Kai is stuck in their home town. Kai has relationship issues and is trying hard ...                See full summary<U+00A0><U+00BB>",91,"Comedy",7.1,1041,"Christian Z<U+00FC>bert","Moritz Bleibtreu",NA,0
"718",718,"Star Raiders: The Adventures of Saber Raine","Rocket ships, Rayguns, and Robots abound in this heart-pounding tale where the stellar adventurer Saber Raine is hired to guide three elite soldiers on a rescue mission to a mysterious planet on the outer rim of the galaxy.",83,"Adventure",2.9,264,"Mark Steven Grove","Casper Van Dien",NA,0
"719",719,"L'amant d'un jour","A young woman returns home after the breakdown of a relationship to discover her father is dating a woman her age.",76,"Drama",7.1,269,"Philippe Garrel","<U+00C9>ric Caravaca",76,0
"720",720,"Who We Are Now","An ex-con tries to get back custody of her son with the help of an idealistic young public defender and at the same time falls into a romantic fling with a traumatized former US soldier.",95,"Drama",7.2,22,"Matthew Newton","E.J. An",NA,0
"721",721,"Ava","13-year-old Ava learns that she will lose her sight sooner than expected, and she confronts the problem in her own way.",105,"Drama",6.9,288,"L<U+00E9>a Mysius","No<U+00E9>e Abita",NA,0
"722",722,"The Bachelors","After the early death of his wife, a mourning father moves with his teenage son across the country for a private school teaching job. Their lives begin to transform due to two unique women, who help them embrace life and love again.",NA,"Comedy",7.3,23,"Kurt Voelker","Odeya Rush",NA,0
"723",723,"He's Out There",NA,NA,"Horror",NA,NA,"Dennis Iliadis","Yvonne Strahovski",NA,0
"724",724,"Road Less Traveled",NA,87,"Romance",NA,NA,"See full summary","Charlene Tilton",NA,0
"725",725,"Gemini","A heinous crime tests the complex relationship between a tenacious personal assistant and her Hollywood starlet boss. As the assistant unravels the mystery, she must confront her own understanding of friendship, truth, and celebrity.",93,"Mystery",6.4,191,"Aaron Katz","Lola Kirke",85,0
"726",726,"Apostasy","A faithful Jehovah's Witness is forced to shun her own sister because of a religious transgression. As the separation draws out, she starts to question the meaning of God's love.",95,"Drama",7.5,47,"Dan Kokotajlo","Siobhan Finneran",NA,0
