"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"14",14,"The Foreigner","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",114,"Action",7.4,4745,"Martin Campbell","Katie Leung",55,0
"15",15,"Wonder Woman","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",141,"Action",7.6,301009,"Patty Jenkins","Gal Gadot",76,404
"16",16,"Spider-Man: Homecoming","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",133,"Action",7.7,201585,"Jon Watts","Tom Holland",73,314.06
"17",17,"The Mountain Between Us","Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",112,"Action",6.2,2954,"Hany Abu-Assad","Idris Elba",48,0
"18",18,"American Made","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",115,"Action",7.3,26032,"Doug Liman","Tom Cruise",65,59.53
"19",19,"Pirates of the Caribbean: Dead Men Tell No Tales","Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.",129,"Action",6.8,143404,"Joachim R<U+00F8>nning","Johnny Depp",39,171.83
"20",20,"Wind River","A veteran tracker with the Fish and Wildlife Service helps to investigate the murder of a young Native American woman, and uses the case as a means of seeking redemption for an earlier act of irresponsibility which ended in tragedy.",107,"Crime",7.9,33160,"Taylor Sheridan","Kelsey Asbille",73,4.09
"21",21,"Mother!","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",121,"Drama",7.1,36451,"Darren Aronofsky","Jennifer Lawrence",74,0
"22",22,"The Babysitter","The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.",85,"Comedy",6.5,7564,"McG","Judah Lewis",NA,0
"23",23,"Jigsaw",NA,91,"Crime",NA,NA,"Michael Spierig","Matt Passmore",NA,0
"24",24,"Geostorm","When the network of satellites designed to control the global climate start to attack Earth, it's a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone.",109,"Action",6.8,1577,"Dean Devlin","Gerard Butler",NA,0
"25",25,"Cult of Chucky","Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife.",91,"Horror",5.3,7322,"Don Mancini","Allison Dawn Doiron",NA,0
"26",26,"American Assassin","After the death of his girlfriend at the hands of Islamic terrorists, Mitch Rapp is drawn into the world of counter-terrorism, mentored by tough-as-nails former U.S. Navy SEAL Stan Hurley.",112,"Action",6.5,11408,"Michael Cuesta","Dylan O'Brien",45,26.19
"27",27,"Transformers: The Last Knight","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",149,"Action",5.2,69776,"Michael Bay","Mark Wahlberg",28,130.12
"28",28,"The Emoji Movie","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",86,"Animation",2.5,24208,"Tony Leondis","T.J. Miller",12,85.19
"29",29,"Flatliners","Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife.",110,"Drama",4.9,3767,"Niels Arden Oplev","Ellen Page",27,0
"30",30,"My Little Pony: The Movie","A dark force threatens Ponyville, and the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their home.",99,"Animation",6.6,2165,"Jayson Thiessen","Emily Blunt",39,0
"31",31,"Dunkirk","Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",106,"Action",8.3,226550,"Christopher Nolan","Fionn Whitehead",94,187.04
"32",32,"Guardians of the Galaxy Vol. 2","The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.",136,"Action",7.8,277850,"James Gunn","Chris Pratt",67,389.21
"33",33,"Beauty and the Beast","An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.",129,"Family",7.3,173989,"Bill Condon","Emma Watson",65,504.01
"34",34,"Annabelle: Creation","12 years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they soon become the target of the dollmaker's possessed creation, Annabelle.",109,"Horror",6.7,44938,"David F. Sandberg","Anthony LaPaglia",62,64.16
"35",35,"Girls Trip","When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.",122,"Comedy",6.5,9753,"Malcolm D. Lee","Regina Hall",71,104.05
"36",36,"Battle of the Sexes","The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.",121,"Biography",6.9,3625,"Jonathan Dayton","Emma Stone",73,0
"37",37,"Baywatch","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",116,"Action",5.6,71581,"Seth Gordon","Dwayne Johnson",37,58.06
"38",38,"Leatherface","A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge.",90,"Horror",5.2,2617,"Alexandre Bustillo","Finn Jones",40,0
"39",39,"Atomic Blonde","An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.",115,"Action",7,42229,"David Leitch","Charlize Theron",63,47.16
