"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"438",438,"Octav","When an elderly man returns to his family home after decades of absence, the apparition of his childhood sweetheart triggers a rewind to the life-changing events from his youth.",100,"Drama",7,168,"Serge Ioan Celebidachi","Marcel Iures",NA,0
"439",439,"Jasper Jones","JASPER JONES is a coming of age story about Charlie Bucktin, a bookish boy of 14. On the night that Jasper Jones, the town's mixed race outcast shows him the dead body of young Laura ...                See full summary<U+00A0><U+00BB>",105,"Drama",6.7,1157,"Rachel Perkins","Toni Collette",NA,0
"440",440,"Cing<U+00F6>z Recai","        Add a Plot",106,"Crime",5.8,624,"Onur <U+00DC>nl<U+00FC>","Kenan Imirzalioglu",NA,0
"441",441,"The Gracefield Incident","In Gracefield, three couples are spending a long weekend in a luxurious cabin when suddenly an uninvited guest in the form of a meteorite, comes crashing the party...",89,"Action",4.1,1055,"Mathieu Ratthe","Mathieu Ratthe",21,0
"442",442,"Small Crimes","A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.",90,"Crime",5.8,3590,"E.L. Katz","Nikolaj Coster-Waldau",60,0
"443",443,"Ver<U+00F3>nica","Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates.",105,"Horror",7,709,"Paco Plaza","Sandra Escacena",NA,0
"444",444,"SPF-18","18-year-old Penny Cooper spent years pining for Johnny Sanders Jr., but when a mysterious musician shows up on the beach, Penny is torn.",75,"Romance",6,20,"Alex Israel","Pamela Anderson",NA,0
"445",445,"Devil's Gate","Set in the small town of Devil's Gate, North Dakota, the film examines the disappearance of a local woman (Regan) and her young son. Schull plays an FBI agent who helps the local sheriff (...                See full summary<U+00A0><U+00BB>",94,"Horror",3.9,169,"Clay Staub","Milo Ventimiglia",NA,0
"446",446,"Jab Harry met Sejal","A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.",143,"Comedy",5.7,12385,"Imtiaz Ali","Shah Rukh Khan",NA,1.28
"447",447,"Final Portrait","The story of Swiss painter and sculptor Alberto Giacometti.",90,"Biography",6.5,427,"Stanley Tucci","Armie Hammer",77,0
"448",448,"Hagane no renkinjutsushi",NA,NA,"Action",NA,NA,"Fumihiko Sori","Ry<U+00F4>suke Yamada",NA,0
"449",449,"Eloise","Four friends break into an abandoned insane asylum in search of a death certificate which will grant one of them a large inheritance. However, finding it soon becomes the least of their worries in a place haunted by dark memories.",89,"Horror",4.5,2279,"Robert Legato","Chace Crawford",15,0
"450",450,"Phoenix Forgotten","20 years after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix, Arizona, unseen footage from that night has been discovered, chronicling the final hours of their fateful expedition.",87,"Horror",5.2,2818,"Justin Barber","Florence Hartigan",33,3.6
"451",451,"Deep Burial","In the near future, when communications go offline at a remote nuclear power plant isolated in the desert, a young safety inspector, Abby Dixon, is forced to fly out to bring them back online. Once inside the facility, mysterious clues and strange behaviors cause Abby to have doubts about the sanity, and perhaps identities, of the two employees onsite.",81,"Sci-Fi",4.1,1033,"Dagen Merrill","Tom Sizemore",33,0
"452",452,"Animal Crackers","A family must use a magical box of Animal Crackers to save a run-down circus from being taken over by their evil uncle Horatio P. Huntington.",94,"Animation",6.1,118,"Tony Bancroft","Emily Blunt",NA,0
"453",453,"S.W.A.T.: Under Siege","A SWAT compound comes under fire from an international terrorist who relentlessly and violently pursues a mystery man who was apprehended by Seattle SWAT after a raid went horribly wrong.",89,"Action",4.3,926,"Tony Giglio","Sam Jaeger",NA,0
"454",454,"2.0",NA,NA,"Action",NA,NA,"S. Shankar","Akshay Kumar",NA,0
"455",455,"Kodachrome","Set during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good.",NA,"Drama",6.9,70,"Mark Raso","Elizabeth Olsen",NA,0
"456",456,"Tuntematon sotilas",NA,180,"Drama",NA,NA,"Aku Louhimies","Eero Aho",NA,0
"457",457,"The Honor Farm","On prom night, a group of kids wander deep into the woods and come back changed forever.",74,"Thriller",4,108,"Karen Skloss","Olivia Grace Applegate",NA,0
"458",458,"Percy Jackson and the Titan's Curse",NA,90,"Action",NA,NA,"J.D. Street","J.D. Street",NA,0
"459",459,"Shock and Awe","A group of journalists covering George Bush's planned invasion of Iraq in 2003 are skeptical of the presidents claim that Saddam Hussein has ""weapons of mass destruction.""",90,"Biography",7,46,"Rob Reiner","Jessica Biel",NA,0
"460",460,"Bad Match","An internet-dating playboy's life spirals out of control after meeting a woman online.",90,"Thriller",6.6,49,"David Chirchirillo","Lili Simmons",NA,0
"461",461,"Altitude","A female FBI agent is offered millions to help a thief escape from a hijacked airplane.",88,"Action",4.7,1935,"Alex Merkin","Denise Richards",NA,0
"462",462,"1 Mile to You","After a teenager's friends die in an accident, he finds running allows him to remember them perfectly. Running, however, also brings him notoriety. He is caught between keeping the past alive and making new memories in the present.",104,"Drama",6.3,913,"Leif Tilden","Tim Roth",NA,0
"463",463,"Mersal","A magician comes to India and finds his long lost brother who is a doctor in USA. He learns about his identity and decides to take revenge for those who killed his parents.",NA,"Action",8.8,4818,"Atlee Kumar","Samantha Ruth Prabhu",NA,0
"464",464,"The Changeover","Based on the Carnegie Medal winning novel by Margeret Mahy. Sixteen year-old Laura Chant lives with her mother and four-year-old brother Jacko in a poor new suburb on the edge of a ...                See full summary<U+00A0><U+00BB>",95,"Fantasy",6.5,41,"Miranda Harcourt","Melanie Lynskey",NA,0
"465",465,"Sha po lang: taam long","Hong Kong police negotiator Lee Chung-Chi has learned that his 16 year old daughter Wing-Chi has disappeared while in Thailand. He travels to Thailand and teams up with Chinese officer Tsui...                See full summary<U+00A0><U+00BB>",101,"Action",7.1,216,"Wilson Yip","Louis Koo",NA,0
"466",466,"The Shadow Effect","A young man's life is turned upside down when his violent dreams begin to blend with reality.",93,"Action",4.2,825,"Obin Olson","Jonathan Rhys Meyers",NA,0
"467",467,"Revenge","Never take your mistress on an annual guys' getaway, especially one devoted to hunting - a violent lesson for three wealthy married men.",108,"Action",6.8,115,"Coralie Fargeat","Kevin Janssens",NA,0
"468",468,"The Institute","In 19th century Baltimore, a girl stricken with grief from her parents' untimely death voluntarily checks herself into the Rosewood Institute, and is subjected to bizarre and increasingly ...                See full summary<U+00A0><U+00BB>",90,"Thriller",4,1447,"James Franco","James Franco",NA,0
"469",469,"Arjun Reddy","When his girlfriend is forced to marry another man, a troubled young surgeon begins to self-destruct.",182,"Action",9,4054,"Sandeep Reddy Vanga","Vijay Deverakonda",NA,0
"470",470,"Lucknow Central","Set in a jail in Lucknow, a group of prisoners form a music band.",133,"Action",6.1,602,"Ranjit Tiwari","Farhan Akhtar",NA,0
"471",471,"Underverden","A successful doctor who loses his little brother in a gang-related assault gives up his privileged life to become a masked warrior and avenge his brother's death.",112,"Action",7.1,2001,"Fenar Ahmad","Dar Salim",NA,0
"472",472,"Plug Love","Carmen is everything you would want in a woman, sexy, classy, and loyal. Unfortunately being with her soon to be husband for 12 years who has cheated on her with a ton of women has caused ...                See full summary<U+00A0><U+00BB>",116,"Drama",6.1,100,"Derek Scott","Murda Payne",NA,0
"473",473,"Temple","Three American tourists follow a mysterious map deep into the jungles of Japan searching for an ancient temple. When spirits entrap them, their adventure quickly becomes a horrific nightmare.",78,"History",3.7,703,"Michael Barrett","Naoto Takenaka",23,0
"474",474,"Boone: The Bounty Hunter","When fame-seeking reality show bounty hunter, Boone, attempts to bring down a drug lord and his empire, he uncovers more than he bargains for and learns that justice means more than ratings.",86,"Action",7.2,840,"Robert Kirbyson","John Hennigan",NA,0
"475",475,"Dabka","In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself among the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men ...                See full summary<U+00A0><U+00BB>",116,"Biography",8.8,84,"Bryan Buckley","Evan Peters",56,0
"476",476,"Where's the Money",NA,NA,"Comedy",NA,NA,"Scott Zabielski","Andrew Bachelor",NA,0
"477",477,"The Yellow Birds","Two young soldiers, Bartle (21) and Murph (18) navigate the terrors of the Iraq war under the command of the older, troubled Sergeant Sterling. All the while, Bartle is tortured by a promise he made to Murph's mother before their deployment.",110,"Drama",7.1,122,"Alexandre Moors","Jennifer Aniston",50,0
"478",478,"Stasis","After a night out of partying Ava wakes up and sneaks back home only to find that somebody's already in her bed and they look exactly like her. Ava learns that a time-traveling fugitive has stolen her body and she is now a ghost and invisible to everyone.",90,"Adventure",3,1583,"Nicole Jones-Dion","Anna Harr",NA,0
"479",479,"Bamui haebyun-eoseo honja","An actress wanders around a seaside town, pondering her relationship with a married man.",101,"Drama",6.9,613,"Sang-soo Hong","Min-hee Kim",82,0
"480",480,"Fe de etarras","        Add a Plot",NA,"Comedy",5.8,582,"Borja Cobeaga","Javier C<U+00E1>mara",NA,0
"481",481,"Kiss and Cry","A romantic drama based on the story of Carley Allison, a promising 18 year old figure skater and singer who made medical history in her fight against a rare 1 in 3.5 billion type of sarcoma.",95,"Biography",6.9,745,"Sean Cisterna","Sarah Fisher",NA,0
"482",482,"Un beau soleil int<U+00E9>rieur","Isabelle, Parisian artist, divorced mother, is looking for love, true love at last.",94,"Comedy",6.5,505,"Claire Denis","Juliette Binoche",79,0
"483",483,"Dog Years","An aging, former movie star is forced to face the reality that his glory days are behind him. On its surface DOG YEARS is a tale about faded fame, but at its core, it's a universal story about growing old.",94,"Drama",8,66,"Adam Rifkin","Burt Reynolds",NA,0
"484",484,"Awakening the Zodiac","The story follows a down-on-their-luck couple who discovers a serial killer's film reels.",100,"Crime",4.8,806,"Jonathan Wright","Shane West",NA,0
"485",485,"Palm Swings","After moving to Palm Springs, a young married couple puts their love to the test when they discover that their neighbors are swingers.",95,"Comedy",6.2,29,"Sean Hoessli","Tia Carrere",NA,0
"486",486,"The Monster Project","A recovering drug addict takes a job with a documentary crew who plans to interview three subjects who claim to be real life monsters.",95,"Action",4.3,1280,"Victor Mathieu","Toby Hemingway",NA,0
"487",487,"3 ting","Before entering the witness protection program, bank robber Mikael demands 3 things from the police. 3 things that cast a whole new light on the robbery he and his partners have been jailed for.",89,"Drama",5.7,257,"Jens Dahl","Nikolaj Coster-Waldau",NA,0
"488",488,"Take Me","Ray is a fledgling entrepreneur who specializes in high-end simulated abductions. He jumps at the chance when a mysterious client contracts him for a weekend kidnapping with a handsome ...                See full summary<U+00A0><U+00BB>",83,"Comedy",6,1846,"Pat Healy","Pat Healy",56,0
"489",489,"Parava","The story of Parava revolves around pigeon race, a game, which is prominent in Mattancherry, Kochi, Kerala.",147,"Comedy",8.7,1078,"Soubin Shahir","Shane Nigaam",NA,0
"490",490,"Me gusta, pero me asusta","Brayan Rodriguez is an innocent heir to a criminal Sinaloa family sent to Mexico City to expand the business, and where he meets Claudia, and their worlds collide. Love and fun are everywhere.",100,"Comedy",5.8,224,"Beto G<U+00F3>mez","Minnie West",NA,0
"491",491,"Ayla: The Daughter of War","In 1950, amidst the ravages of the Korean War, Sergeant S<U+00FC>leyman stumbles upon a a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary<U+00A0><U+00BB>",NA,"Drama",8.9,208,"Can Ulkay","<U+00C7>etin Tekindor",NA,0
"492",492,"Bitter Harvest","Set in 1930s Ukraine, as Stalin advances the ambitions of communists in the Kremlin, young artist Yuri battles to save his lover Natalka from the Holodomor, the death-by-starvation program that ultimately killed millions of Ukrainians.",103,"Drama",6,2099,"George Mendeluk","Max Irons",34,0.56
"493",493,"King Arthur and the Knights of the Round Table","In medieval England, Merlin and King Arthur banish the evil enchantress Morgana and her son Mordred to the ends of the universe as Morgana vows revenge. In present day, Knights descendant ...                See full summary<U+00A0><U+00BB>",88,"Action",2.4,261,"Jared Cohn","Sara Malakul Lane",NA,0
"494",494,"Three Christs","Three Christs follows Dr. Alan Stone who is treating three paranoid schizophrenic patients at the Ypsilanti State Hospital in Michigan, each of whom believed they were Jesus Christ. What transpires is both comic and deeply moving.",117,"Drama",8.2,78,"Jon Avnet","Richard Gere",NA,0
"495",495,"The Hippopotamus","Disgraced poet Ted Wallace is summoned to his friend's country manor to investigate a series of unexplained miracles.",89,"Comedy",6.4,1647,"John Jencks","Roger Allam",46,0
"496",496,"Nevesta","The unusual practice of photographing dead relatives during mid-1800s rural Russia will link a Philology student with her husband's abysmal family history.",93,"Horror",4.8,960,"Svyatoslav Podgayevskiy","Victoria Agalakova",NA,0
"497",497,"The Mercy",NA,NA,"Biography",NA,NA,"James Marsh","Colin Firth",NA,0
"498",498,"Toilet - Ek Prem Katha","A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",155,"Comedy",7.6,7096,"Shree Narayan Singh","Akshay Kumar",NA,0.68
"499",499,"Dave Made a Maze","Dave, an artist who has yet to complete anything significant in his career, builds a fort in his living room out of pure frustration, only to wind up trapped by the fantastical pitfalls, booby traps, and critters of his own creation.",80,"Adventure",6.2,1683,"Bill Watterson","Meera Rohit Kumbhani",60,0.03
"500",500,"Mubarakan","Karan and Charan are identical twin brothers but their personalities are polar opposites. Karan has grown up in London while Charan was raised in Punjab. Karan is street-smart, calculating ...                See full summary<U+00A0><U+00BB>",156,"Comedy",5.4,1479,"Anees Bazmee","Anil Kapoor",NA,0.76
"501",501,"I'm Not Here",NA,NA,"Drama",NA,NA,"Michelle Schumacher","J.K. Simmons",NA,0
"502",502,"My Name Is Lenny","The life story of one of Britain's most notorious bare-knuckle fighters, Lenny McLean, also known as ""the Guv'nor.""",91,"Drama",7,1904,"Ron Scalpello","Josh Helman",NA,0
"503",503,"The Night Before","On the night before Halloween, a single mother and her daughter are taken captive in a strange home.",81,"Horror",6.6,78,"Brett Bentman","Steven Michael Quezada",NA,0
"504",504,"Triple Threat",NA,NA,"Action",NA,NA,"Jesse V. Johnson","Scott Adkins",NA,0
"505",505,"Win It All","Eddie Garrett agrees to watch a duffel bag for an acquaintance who is heading to prison. When he discovers cash in the bag, he's unable to resist the temptation and winds up deeply in debt....                See full summary<U+00A0><U+00BB>",88,"Comedy",6.3,4307,"Joe Swanberg","Jake Johnson",78,0
"506",506,"Monster Island","When young Lucas finds out he's not really a human; the news changes his whole world. Especially since his first monster transformation happened in front of the most popular kids at school!",80,"Animation",4.8,135,"Leopoldo Aguilar","Fiona Hardingham",NA,0
"507",507,"The Incredible Jessica James","An aspiring playwright in New York strikes up a friendship with a guy while on the rebound from a break-up.",85,"Comedy",6.5,3006,"Jim Strouse","Jessica Williams",72,0
"508",508,"Deep",NA,92,"Animation",NA,NA,"See full summary","Justin Felbinger",NA,0
"509",509,"Eat Locals","Facing difficult times and with their glory days long gone, the eight undisputed British vampire overlords gather up for their semi-centennial meeting. However, before the break of dawn, there will be blood. And corpses. Lots of them.",94,"Action",5.1,780,"Jason Flemyng","Charlie Cox",NA,0
"510",510,"Red Shoes & the 7 Dwarfs",NA,NA,"Animation",NA,NA,"Sung-ho Hong","Chlo<U+00EB> Grace Moretz",NA,0
"511",511,"Circus Kane","A reclusive circus master invites a group of social media stars to his house of haunts. Anyone who can make it out before being scared into submission will earn $250,000 - but the stars ...                See full summary<U+00A0><U+00BB>",88,"Horror",4.5,167,"Christopher Ray","Jonathan Lipnicki",NA,0
"512",512,"Manhunt","Accused of heinous crimes he didn't commit, a prosecutor sets out on a mission to clear his name.",106,"Action",5.8,124,"John Woo","Hanyu Zhang",69,0
"513",513,"The Atoning","While they are haunted by ghostly apparitions, two parents try to protect their young son from a dark secret that could destroy their family.",89,"Drama",4.1,318,"Michael Williams","Virginia Newcomb",NA,0
"514",514,"Hunter Killer",NA,NA,"Action",NA,NA,"Donovan Marsh","Gerard Butler",NA,0
"515",515,"The Amityville Murders",NA,NA,"Horror",NA,NA,"Daniel Farrands","John Robinson",NA,0
"516",516,"Juvenile","When an angry teenager (Blake Jenner) discovers a close friend has been killed, grief jeopardizes his future and he finds himself engulfed in danger.",90,"Crime",6.3,24,"Bradley Buecker","Melissa Benoist",NA,0
"517",517,"Trapped","A man gets stuck in an empty high rise without food, water or electricity.",105,"Adventure",7.6,3500,"Vikramaditya Motwane","Rajkummar Rao",NA,0
"518",518,"Unicorn Store","A woman named Kit receives a mysterious invitation that would fulfill her childhood dreams.",92,"Comedy",6.3,102,"Brie Larson","Brie Larson",NA,0
"519",519,"Cold Skin","On the edge of the Antartic Circle, in the years after World War I, a steam ship approaches a desolate island far from all shipping lanes. On board is a young man, on his way to assume the ...                See full summary<U+00A0><U+00BB>",NA,"Adventure",6.4,68,"Xavier Gens","David Oakes",NA,0
"520",520,"Savage Dog","A story set in Indochina in 1959, a land beyond rule and a time without mercy and the birth of a legend.",94,"Action",4.8,1156,"Jesse V. Johnson","Scott Adkins",NA,0
"521",521,"Sweet Virginia","A former rodeo champ befriends a young man with a propensity for violence.",105,"Drama",6.7,114,"Jamie M. Dagg","Jon Bernthal",NA,0
"522",522,"Les fant<U+00F4>mes d'Isma<U+00EB>l","The story follows a filmmaker whose life is sent into a tailspin by the return of a former lover just as he is about to embark on the shoot of a new film.",114,"Drama",5.8,683,"Arnaud Desplechin","Mathieu Amalric",58,0
"523",523,"Zama","Based on the novel by Antonio Di Benedetto written in 1956, on Don Diego de Zama, a Spanish officer of the seventeenth century settled in Asunci<U+00F3>n, who awaits his transfer to Buenos Aires.",115,"Drama",6.7,381,"Lucrecia Martel","Daniel Gim<U+00E9>nez Cacho",85,0
"524",524,"Bonded by Blood 2","In the aftermath of the infamous 'Essex Boys' Range Rover killings, a group of younger, flashier criminals emerge to fill the power vacuum.",91,"Crime",6.8,614,"Greg Hall","Sam Strike",NA,0
"525",525,"Lizzie",NA,NA,"Biography",NA,NA,"Craig William Macneill","Kristen Stewart",NA,0
"526",526,"Walk of Fame","A motley crew of aspiring performers come under the guidance of an eccentric and volatile acting coach.",93,"Comedy",3.2,466,"Jesse Thomas","Scott Eastwood",NA,0
"527",527,"Pieles","In a strange world where people share numerous deformities, the same problem we all face challenges each of them: to find someone who accepts you as you are. Sometimes, that means finding yourself first.",77,"Drama",6.4,1542,"Eduardo Casanova","Macarena G<U+00F3>mez",NA,0
"528",528,"I Kill Giants","Barbara Thorson struggles through life by escaping into a fantasy life of magic and monsters.",104,"Drama",8,157,"Anders Walter","Zoe Saldana",NA,0
"529",529,"The Trip to Spain","Steve Coogan and Rob Brydon embark on a six-part episodic road trip through Spain, sampling the restaurants, eateries, and sights along the way.",108,"Comedy",7,913,"Michael Winterbottom","Steve Coogan",66,0.12
"530",530,"Un profil pour deux","Pierre, a 75 year old widower, discovers online dating websites. Using the profile picture of Alex, his grand daughter's boyfriend, Pierre meets Flora. Charmed by his elegant conversations ...                See full summary<U+00A0><U+00BB>",99,"Comedy",6.5,621,"St<U+00E9>phane Robelin","Pierre Richard",NA,0
"531",531,"Bottom of the World","The mysterious disappearance of a young woman leads her boyfriend on a journey for truth and perhaps his own unknown reality in this dark, hypnotic mystery that transcends the limitations of traditional narrative.",85,"Drama",5.5,2534,"Richard Sears","Jena Malone",NA,0
"532",532,"Dance Academy: The Movie","This 2017 movie follows the original dance academy TV show and tracks where the characters are in their lives now.",101,"Drama",7,460,"Jeffrey Walker","Alex Acosta",NA,0
"533",533,"Ripped","Comedy that tells the story of two free spirited stoners who, after smoking some top secret pot created by the CIA in 1986, find themselves catapulted into 2016. With 30 years of their ...                See full summary<U+00A0><U+00BB>",97,"Comedy",4.7,596,"Brad Epstein","Faizon Love",22,0
"534",534,"All-Star Weekend",NA,NA,"Comedy",NA,NA,"Jamie Foxx","Robert Downey Jr.",NA,0
"535",535,"Out of the Shadows","A newly married detective and his pregnant wife move into their dream home unaware of its dark history. When his wife claims their baby is being tormented by a supernatural force and seeks ...                See full summary<U+00A0><U+00BB>",88,"Thriller",4.3,35,"Dee McLachlan","Goran D. Kleut",NA,0
"536",536,"Negative","After taking a picture of a woman on the street, amateur photographer Hollis is shocked when she knocks on his apartment door and threatens his life. Demanding that he and the photograph ...                See full summary<U+00A0><U+00BB>",99,"Drama",4.4,134,"Joshua Caldwell","Katia Winter",NA,0
"537",537,"Raees","Criticizing the prohibition of alcohol in Gujarat, this film unfolds the story of a clever bootlegger, whose business is challenged by a tough cop.",143,"Action",7,31846,"Rahul Dholakia","Raj Arjun",NA,3.26
"538",538,"The Healer","A young man discovers suddenly to have the gift of healing. Trying to understand it and the new reality that it offers, a teenage girl with terminal cancer unexpectedly will show him the way.",113,"Comedy",6.4,560,"Paco Arango","Oliver Jackson-Cohen",NA,0
"539",539,"Smartass","A 15 year old girl becomes intimately acquainted to a town in California after being released from prison.",90,"Comedy",4.7,157,"Jena Serbu","Joey King",NA,0
"540",540,"Hangman",NA,NA,"Crime",NA,NA,"Johnny Martin","Al Pacino",NA,0
"541",541,"Krystal",NA,90,"Comedy",NA,NA,"William H. Macy","Rosario Dawson",NA,0
"542",542,"Generational Sins","A dying mother, Sarah, tells her last wish to her eldest son, Drew, that he take his younger brother, Will, to the place they were born. Despite tragic family history, hope gives promise to the future.",90,"Drama",8.7,782,"Spencer T. Folmar","Daniel MacPherson",NA,0
"543",543,"The Hatton Garden Job","In April 2015, the Hatton Garden Safe Deposit Company, an underground safe deposit facility in London's Hatton Garden area, was burgled by 4 elderly men. The total stolen may have a value ...                See full summary<U+00A0><U+00BB>",93,"Crime",6.5,2409,"Ronnie Thompson","Stephen Moyer",NA,0
"544",544,"All Saints","When a group of Burmese refugees join the congregation, the pastor of a failing Anglican church attempts to aid them by planting crops and enlisting the help of the community.",108,"Drama",5.9,319,"Steve Gomer","Cara Buono",63,0
"545",545,"La llamada","        Add a Plot",108,"Musical",7.5,380,"Javier Ambrossi","Macarena Garc<U+00ED>a",NA,0
"546",546,"Mad Families","Three families compete for a camping spot during a busy Fourth of July holiday weekend.",90,"Comedy",4.2,681,"Fred Wolf","Charlie Sheen",NA,0
"547",547,"Accident Man",NA,NA,"Action",NA,NA,"See full summary","Scott Adkins",NA,0
"548",548,"JoJo no kimy<U+00F4> na b<U+00F4>ken: Daiyamondo wa kudakenai - dai-issh<U+00F4>","A teen gifted with supernatural power discovers the truth behind his cursed and bizarre bloodline, and the evil that lurks within his town.",119,"Action",5.8,180,"Takashi Miike","Mackenyu",NA,0
"549",549,"Bareilly Ki Barfi","Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",116,"Comedy",7.6,2652,"Ashwiny Iyer Tiwari","Ayushmann Khurrana",NA,0
"550",550,"Sahara","Two clans of snakes cohabit in the desert. Beautiful green serpents that live under the shelter of an oasis, protected and venerated by men and venomous snakes that survive in the sand, ...                See full summary<U+00A0><U+00BB>",86,"Animation",5.5,1095,"Pierre Cor<U+00E9>","Omar Sy",NA,0
"551",551,"England Is Mine","A portrait of Morrissey and his early life in 1970s Manchester before he went on to become the lead singer of seminal alternative rock band The Smiths.",94,"Biography",6.2,492,"Mark Gill","Jessica Brown Findlay",45,0
"552",552,"The Endless","Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought",111,"Horror",6.7,243,"Justin Benson","Callie Hernandez",NA,0
"553",553,"La Cordillera","The president of Argentina, Hern<U+00E1>n Blanco, is facing a very important decision. He is participating in a meeting between different state leaders, which takes place in La Cordillera. From ...                See full summary<U+00A0><U+00BB>",114,"Drama",6.3,818,"Santiago Mitre","Walter Andrade",NA,0
"554",554,"Hampstead","An American widow finds unexpected love with a man living wild on Hampstead Heath when they take on the developers who want to destroy his home.",102,"Comedy",5.8,728,"Joel Hopkins","Brendan Gleeson",47,0
"555",555,"The Cured","A disease that turned people into zombies has been cured. The once-infected zombies are discriminated against by society and their own families, which causes social issues to arise. This leads to militant government interference.",95,"Horror",5.4,138,"David Freyne","Ellen Page",NA,0
"556",556,"The Storm","A convicted robber (lead villain) loses his wife and child after being sentenced to prison. While away he meets another crook who mentions a ""job"" he worked with a fellow thief that ended ...                See full summary<U+00A0><U+00BB>",NA,"Thriller",4.4,26,"Dami<U+00E1>n Romay","Josie Davis",NA,0
"557",557,"Golmaal Again",NA,140,"Action",NA,NA,"Rohit Shetty","Ajay Devgn",NA,0
"558",558,"The Wrong Mother","Kaylene Larsen's dream finally came true: beautiful twins from an in vitro procedure. But when Kaylene needs home care, the nurse she hires is none other than the egg donor herself -- and the crazy woman has come to claim ""her"" babies.",NA,"Drama",5.5,119,"Craig Goldstein","Vanessa Marcil",NA,0
"559",559,"Hot Summer Nights","A boy comes of age during a summer he spends in Cape Cod.",120,"Drama",8.2,68,"Elijah Bynum","Maika Monroe",NA,0
"560",560,"I Do... Until I Don't","An ensemble comedy about the meaning of matrimony.",103,"Comedy",4.2,107,"Lake Bell","Lake Bell",43,0
"561",561,"Foxtrot","A troubled family face the facts when something goes terribly wrong at their son's desolate military post.",108,"Drama",7.4,477,"Samuel Maoz","Lior Ashkenazi",94,0
"562",562,"Gun-ham-do","During the Japanese colonial era, roughly 400 Korean people, who were forced onto Battleship Island (""Hashima Island"") to mine for coal, attempt to escape.",132,"Action",7.2,1198,"Seung-wan Ryoo","Jung-min Hwang",60,0
"563",563,"Dang kou feng yun","During the 16th century, Japanese pirates proliferate along the Chinese coastline. In 1557, the pirates take over Cengang in Zhejiang. After months of futile advances, Commander Yu (Sammo ...                See full summary<U+00A0><U+00BB>",128,"Action",6.3,396,"Gordon Chan","Wenzhuo Zhao",54,0.05
"564",564,"Wicked Mom's Club","Jessica is a new mom is town and at first, she is welcomed to a circle of elite moms, but when her daughter outperforms power mom Olivia's daughter, she finds herself ostracized.",NA,"Thriller",6.1,27,"Lane Shefter Bishop","Adam Atherton",NA,0
"565",565,"Hindi Medium","A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.",132,"Comedy",7.9,9027,"Saket Chaudhary","Irrfan Khan",NA,0
"566",566,"Mahanubhavudu","A kind-hearted person must face his OCD condition in order to win his love back.",151,"Comedy",6.3,89,"Maruthi Dasari","Raghu Babu",NA,0
"567",567,"Les as de la jungle","Maurice may look like a penguin - but he's a real tiger inside! Raised by a tigress, he's the clumsiest Kung-Fu master ever. Along with his friends, The Jungle Bunch, he intends to maintain...                See full summary<U+00A0><U+00BB>",97,"Animation",5,139,"David Alaux","Paul Borne",38,0
"568",568,"Freak Show","Follows the story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen.",95,"Comedy",7.2,111,"Trudie Styler","Abigail Breslin",NA,0
"569",569,"<U+00C9>g man <U+00FE>ig","A story about a young man and woman who move into a small abandoned town in Iceland to renovate an old house. Little do they know the town has a dark history.",105,"Drama",7.5,238,"<U+00D3>skar Th<U+00F3>r Axelsson","J<U+00F3>hannes Haukur J<U+00F3>hannesson",NA,0
"570",570,"Clowntergeist","Emma, a college student with a crippling fear of clowns, must come face to face with her worst fear when an evil spirit in the body of a clown is summoned terrorizing the town she calls home.",80,"Horror",3.2,207,"Aaron Mirtes","Brittany Belland",NA,0
"571",571,"Wtf!","Three years ago, twenty-two year old ""girl-next door"" Rachel barely survived a brutal massacre that left all of her friends murdered. Time has passed, and Rachel has moved on, but ...                See full summary<U+00A0><U+00BB>",80,"Horror",4,481,"Peter Herro","Callie Ott",NA,0
"572",572,"Ce qui nous lie","After a 10 year absence, Jean returns to his hometown when his father falls ill. Reuniting with his sister Juliette and his brother J<U+00E9>r<U+00E9>mie, they have to re-build their relationship and trust as a family again.",113,"Comedy",7.1,795,"C<U+00E9>dric Klapisch","Pio Marma<U+00EF>",NA,0
"573",573,"City of Rock","A young musician from a small town in China tries to save his town's treasured Rock Park by organizing a charity rock concert.",140,"Comedy",6.1,41,"Chengpeng Dong","Chengpeng Dong",NA,0
